1926	3	25	2240	3.6
1926	11	16	5320	5.6
1927	10	19	2950	4.35
1929	4	21	3370	4.6
1930	3	8	2260	3.9
1931	3	29	1770	3.45
1932	3	31	2170	3.72
1933	8	24	1700	3.34
1934	3	27	3480	4.37
1935	7	8	15500	9.52
1936	3	18	5040	5.57
1937	4	6	1880	3.64
1937	10	29	2580	4.17
1939	2	20	4400	5.25
1940	3	31	4300	5.2
1941	4	6	3890	4.98
1942	3	17	4630	5.37
1942	12	30	5660	5.86
1944	3	17	3310	4.64
1945	3	17	2920	4.4
1946	5	28	2480	4.1
1947	6	3	5180	5.64
1948	3	17	3510	4.76
1948	11	20	2220	3.91
1950	3	28	5120	5.61
1950	12	4	3340	4.66
1952	3	11	2980	4.44
1952	12	11	3000	4.44
1954	5	4	3430	4.71
1955	3	1	2940	4.41
1956	3	7	5030	4.92
1957	1	23	1650	3.32
1958	4	6	3020	4.46
1959	1	22	4710	5.41
1960	3	30	4570	5.34
1961	2	26	4040	5.06
1962	3	12	1820	3.58
1962	10	12	3730	4.89
1964	3	5	5310	5.7
1965	2	8	1100	7.72
1966	2	14	2010	3.74
1966	11	29	1550	3.34
1968	3	23	2440	4.07
1969	6	24	3220	4.59
1970	4	3	2260	3.94
1971	3	16	2720	4.27
1972	6	23	4660	5.38
1972	12	6	2840	4.35
1974	4	5	2200	3.9
1975	9	26	5690	5.87
1976	7	11	2750	4.29
1977	2	25	5000	6.73
1977	10	17	3960	5.05
1979	3	6	4470	5.29
1980	3	22	3110	4.52
1981	2	11	2420	4.06
1981	10	28	11900	8.35
1983	4	16	2500	4.12
1984	2	15	4550	5.33
1985	2	25	1590	3.41
1986	3	15	3420	4.71
1987	4	5	1900	3.67
1988	3	26	1710	3.51
1989	5	11	2150	3.86
1990	2	16	2360	4.02
1990	10	24	3400	4.7
1992	3	27	3090	4.51
1993	4	11	4470	5.29
1994	8	18	2930	4.41
1994	11	2	3230	4.6
1996	1	19	9450	7.47
1996	11	9	5160	5.63
1998	1	8	3250	4.61
1999	3	4	2490	4.11
2000	2	28	3470	4.74
2001	4	9	2230	3.92
2002	5	13	2570	4.17
2003	4	5	1900	3.67
2004	4	14	1900	3.67
2005	4	3	6190	6.1
2005	11	30	2350	4.01
2007	3	15	3060	4.49
2008	2	6	3090	4.51
2009	3	9	1850	3.63
2010	1	25	3150	4.55
2011	9	8	4310	5.21
2012	1	27	1210	3.13
